# wav(nm): wavelength in nm (vacuum)
# flux: normalized flux
wav(nm),flux
350.0029444271244,0.7168428400000001
350.04295960067924,0.7415073999999999
350.0829747744136,0.751566
350.12298994832736,0.74939882
350.16300512242054,0.7388123600000001
350.2030202966929,0.72839946
350.2430354711446,0.724604
350.28305064577523,0.72645504
350.3230658205851,0.7326389799999999
350.3630809955738,0.740319
350.4030961707413,0.74898858
350.4431113460878,0.7551165999999999
350.48312652161286,0.75348516
350.5231416973166,0.74448416
350.5631568731988,0.7279631
350.6031720492595,0.70794368
350.6431872254986,0.6916412000000001
350.68320240191605,0.6829983000000001
350.72321757851165,0.68376282
350.7632327552854,0.69200398
350.8032479322373,0.7029406
350.8432631093671,0.71419
350.8832782866749,0.72465936
350.9232934641604,0.7317387799999999
350.96330864182363,0.73892724
351.0033238196647,0.7410133200000001
351.0433389976832,0.73276028
351.0833541758792,0.7189537400000001
351.1233693542527,0.70221456
351.16338453280343,0.68510932
351.2033997115315,0.67641078
351.2434148904368,0.6813171600000001
351.2834300695191,0.68815536
351.32344524877846,0.6963064200000001
351.3634604282148,0.7007527
351.403475607828,0.6971704200000001
351.4434907876179,0.68566544
351.48350596758473,0.67603074
351.523521147728,0.6726380599999999
351.5635363280478,0.67572186
351.6035515085441,0.68502618
351.6435666892168,0.70278422
351.6835818700659,0.72298898
351.7235970510911,0.73764294
351.7636122322924,0.74676612
351.80362741367003,0.7533816799999999
351.8436425952235,0.7562258
351.88365777695276,0.76066892
351.9236729588581,0.7635613400000001
351.96368814093904,0.7622422
352.0037033231956,0.75726258
352.04371850562785,0.7462860800000001
352.08373368823567,0.72889516
352.12374887101885,0.7139941200000001
352.1637640539774,0.70308602
352.2037792371112,0.69581156
352.2437944204203,0.69560042
352.2838096039045,0.7026254200000001
352.3238247875637,0.71456924
352.363839971398,0.72701752
352.403855155407,0.73225268
352.4438703395909,0.7288239200000001
352.48388552394965,0.71465764
352.52390070848287,0.69497086
352.56391589319065,0.6798875600000001
352.6039310780731,0.67191616
352.64394626312986,0.6638328
352.683961448361,0.6522066799999999
352.7239766337665,0.6386890399999999
352.763991819346,0.6321868199999999
352.8040070050998,0.63606082
352.8440221910275,0.65305174
352.8840373771292,0.68526574
352.9240525634047,0.7249582999999999
352.964067749854,0.75384674
353.0040829364772,0.76851414
353.04409812327384,0.7710127
353.0841133102442,0.76725482
353.124128497388,0.75890824
353.1641436847052,0.74887154
353.20415887219576,0.74182234
353.2441740598595,0.73869376
353.2841892476964,0.73381392
353.3242044357066,0.72630324
353.3642196238897,0.7202333399999999
353.40423481224576,0.71472724
353.4442500007747,0.71954506
353.4842651894764,0.73293268
353.5242803783508,0.74686718
353.56429556739783,0.75789158
353.6043107566175,0.7634010200000001
353.64432594600964,0.7552554600000001
353.6843411355742,0.74489636
353.72435632531113,0.74150552
353.76437151522015,0.7393704400000001
353.8043867053015,0.7402289
353.8444018955549,0.7469103799999999
353.8844170859804,0.75191412
353.9244322765777,0.75803396
353.964447467347,0.7726453200000001
354.00446265828805,0.7899851
354.0444778494008,0.8065312199999999
354.08449304068523,0.81423986
354.1245082321413,0.80691276
354.1645234237687,0.79222572
354.2045386155676,0.77714102
354.24455380753784,0.7599392600000001
354.28456899967927,0.75077236
354.3245841919921,0.7522546
354.3645993844759,0.76093084
354.4046145771307,0.77292358
354.4446297699566,0.78553936
354.48464496295327,0.79767848
354.5246601561207,0.8061631800000001
354.564675349459,0.8027884200000001
354.6046905429678,0.7914032
354.6447057366472,0.78207494
354.68472093049724,0.7772093
354.7247361245176,0.77891592
354.76475131870836,0.7836964799999999
354.8047665130694,0.7859242200000001
354.84478170760065,0.7840843200000001
354.884796902302,0.7751962000000001
354.92481209717334,0.7631203200000001
354.96482729221475,0.75725524
355.0048424874261,0.76265176
355.04485768280716,0.7739999999999999
355.08487287835817,0.79117962
355.1248880740787,0.80896992
355.1649032699688,0.81900672
355.2049184660285,0.8205572
355.24493366225767,0.8157576200000001
355.2849488586561,0.80629448
355.3249640552239,0.7952761199999999
355.364979251961,0.7865980200000001
355.40499444886717,0.7796184
355.44500964594243,0.7678377
355.48502484318675,0.7568295199999999
355.52504004059995,0.7446292800000001
355.5650552381819,0.7360056199999999
355.60507043593276,0.73723442
355.6450856338524,0.74955522
355.6851008319404,0.76002062
355.7251160301972,0.76523632
355.7651312286224,0.7656321
355.8051464272161,0.76352126
355.845161625978,0.76294478
355.88517682490817,0.7629408
355.9251920240066,0.76428772
355.965207223273,0.76734502
356.00522242270756,0.77063422
356.0452376223101,0.7732276600000001
356.0852528220804,0.7755721799999999
356.12526802201864,0.77911236
356.1652832221245,0.78011596
356.20529842239813,0.7764231
356.2453136228393,0.77007122
356.285328823448,0.77144428
356.32534402422425,0.78407544
356.3653592251678,0.8021404999999999
356.4053744262785,0.8189393800000001
356.4453896275567,0.83234566
356.48540482900194,0.8339152999999999
356.5254200306142,0.81780216
356.5654352323934,0.7881167
356.6054504343396,0.74804294
356.6454656364527,0.70293798
356.6854808387326,0.6659685
356.7254960411792,0.6472300799999999
356.7655112437923,0.6475424399999999
356.8055264465722,0.6641044199999999
356.84554164951834,0.6911830800000001
356.8855568526311,0.7186174999999999
356.92557205591015,0.73558968
356.96558725935535,0.73554354
357.00560246296686,0.7199530199999999
357.0456176667444,0.69237812
357.08563287068813,0.66352554
357.12564807479777,0.64784202
357.1656632790733,0.65268266
357.20567848351476,0.66888766
357.2456936881219,0.68566134
357.2857088928947,0.69475692
357.3257240978332,0.6924469600000001
357.36573930293724,0.68140638
