time,flux,flux_error
352.5975477916392,0.9999274476480708,2.5269474144756286e-05
352.65884680699236,0.9998176386829888,2.5268306335901337e-05
352.67927981245447,0.9999116418121878,2.5277697767671163e-05
352.7201458239753,0.999904630200781,2.5269842258417082e-05
352.74057872996053,0.9998217981134844,2.5270582112474255e-05
352.7610118361874,0.999842595265962,2.527526060136519e-05
352.7814448425881,0.9999396882578148,2.5268398817658486e-05
352.8223108559061,0.9998316619058023,2.52730519194004e-05
352.863176870039,0.9998294039292476,2.527015959777984e-05
352.88360987737104,0.9998302358153467,2.5270337307822983e-05
352.9040428848195,0.9998340387232283,2.5268765117951495e-05
352.9857749166942,0.9963496837971227,2.522975051001024e-05
353.0062078251314,0.9939023343139884,2.5197697421003984e-05
353.0266409337448,0.9934351114284691,2.5191961738693122e-05
353.0470739425829,0.9930881555047062,2.5191354260484415e-05
353.067506851544,0.9931686701950125,2.518911293789946e-05
353.08793996073945,0.9935103971204382,2.5193280057074405e-05
353.10837297010147,0.9939454735502706,2.5205456821765342e-05
353.12880587964463,0.9971142465426368,2.5239247117111723e-05
353.14923898936394,0.9997979110983529,2.5274196154474112e-05
353.16967199930804,0.9998156183881767,2.5274094605878028e-05
353.2105379196757,0.9998248879761382,2.527522614737723e-05
353.2309710301444,0.99980587343673,2.5275494525809735e-05
353.2514040408525,0.9998589953062015,2.527347443409481e-05
353.2718369516762,0.9997614269508636,2.527526060136519e-05
353.292270062727,0.999723279031176,2.5274257808978876e-05
353.31270307395897,0.9999814014036414,2.527505931754081e-05
353.3331359853648,0.9998322561101588,2.527243900108833e-05
353.3740021087535,0.9999206737184066,2.5278501089600885e-05
353.39443502068315,0.9999415897117556,2.527685636501791e-05
353.4148681328981,0.9999673781808279,2.5275628715025985e-05
353.435301145236,1.0000055261005154,2.527185872339643e-05
353.45573405774775,0.9998083690950273,2.5279220996612398e-05
353.4761670704858,0.9999001142476717,2.5277404002089638e-05
353.49660018334833,0.9998282155205346,2.5276582546482044e-05
353.51703309644216,0.9998648185088953,2.5279745059902893e-05
353.5374661097623,0.9998825257987191,2.5271432581966442e-05
353.55789912320614,0.9998921519092945,2.527952020229728e-05
353.5987651507268,0.9998734938925002,2.5270284720157157e-05
353.6191982647535,0.9994571943203333,2.5276214432821244e-05
353.66006419337936,0.9998626793732118,2.5273563289116384e-05
353.6804973079881,0.9999364795542897,2.5277097542933605e-05
353.7213632377199,0.9999100968808609,2.527742938923866e-05
353.74179625291,0.9999127113800295,2.5280290883606836e-05
353.76222926827467,0.9999456303013798,2.527225222420625e-05
353.7826622838067,0.9999842535845527,2.527465312315648e-05
353.80309529952063,0.9999379056447453,2.52773387208493e-05
353.8235283154674,0.9999302998289821,2.527456245476712e-05
353.8439613315233,0.9998677895306778,2.527638488939324e-05
353.8643943478193,0.9998737315742429,2.5274827206464052e-05
353.8848274643489,0.999899876565929,2.5271486983000057e-05
353.90526038098614,0.9998227488404547,2.5279511135458347e-05
353.9256933978642,0.9998892997283833,2.52776361131664e-05
353.9461265149177,0.9999199606731789,2.5272955810907677e-05
353.966559432137,0.999927923011556,2.5272448067927265e-05
354.00742536717297,0.999892746113651,2.527531681576659e-05
354.02785848497587,0.9999103345626035,2.5280283630135686e-05
354.0482915030181,0.9999819956079979,2.527656622617196e-05
354.06872452117676,0.99996939847564,2.5275159052769105e-05
354.089157539561,0.9998472300599427,2.5281172180351405e-05
354.1095905581271,0.9999119983348017,2.527851015643982e-05
354.1300235768678,0.9999030852694542,2.5272614897763686e-05
354.1504565958341,0.9999072446999496,2.5282657328569108e-05
354.1913226343051,1.0000658972631364,2.5275944241020955e-05
354.21175555380177,0.9999869869245925,2.5280114986931477e-05
354.2321886735255,1.0000311957287165,2.5279112194545165e-05
354.2526216934304,0.9999469375509642,2.5277793876163882e-05
354.27305461350187,0.9999052244051375,2.52787821616079e-05
354.29348773375676,0.9999665462947288,2.527639214286439e-05
354.3139207542437,0.9998668388037074,2.527950025525162e-05
354.3343536748973,0.9999431346430825,2.5281679923331817e-05
354.35478679573424,0.9999293491020116,2.527824721811068e-05
354.3752197168025,1.0000185985963586,2.5275329509341102e-05
354.3956527380389,0.9999336273733784,2.52798429817634e-05
354.41608585945795,1.0000315522513303,2.527937150613873e-05
354.43651888105086,1.000031076887845,2.5284496083505313e-05
354.45695180286856,1.000014082643249,2.5276524518712853e-05
354.4773848248689,0.9998971432258891,2.527885832305496e-05
354.49781794704467,0.9999715376113234,2.528173069762986e-05
354.51825086938624,0.9999814014036414,2.5282446977905795e-05
354.5591170147265,0.9998759895507976,2.5286548815840404e-05
354.57954993770835,0.9999238824219318,2.5282060730567127e-05
354.59998296081466,0.9999411143482704,2.5276801963984295e-05
354.62041608415456,0.9998983316346021,2.5284089889120985e-05
354.6408490077185,1.0000796828042073,2.5283219472583135e-05
354.66128203140687,0.9999827086532257,2.5279904636268164e-05
354.68171515532885,0.9998936968406213,2.5284483389930803e-05
354.70214807941665,1.0000019608743764,2.528158744157467e-05
354.7225811037453,0.9999298244654968,2.5283777989861588e-05
354.7634472528618,0.9999748651557199,2.528409170248877e-05
354.7838801777718,0.9998847837752738,2.5283221285950923e-05
354.80431320279894,1.0000177667102594,2.527986111544127e-05
354.8247463280524,1.0000531812899072,2.5281997262694575e-05
354.8451792535445,0.9999316070785663,2.5286663058010998e-05
354.8656122791537,0.9998708793933316,2.5280114986931477e-05
354.88604540498926,0.9999566825024109,2.528015850775837e-05
354.9064783310052,0.9998884678422841,2.5283079843263523e-05
354.9269113572547,0.9999838970619387,2.5283264806777815e-05
